miRNA_ID,mesh_similarity,doid_similarity,num_sources_mesh,num_sources_doid,mesh_disease_count,doid_disease_count,mesh_max_jaccard,doid_max_jaccard,mesh_jaccard_std,doid_jaccard_std,inter_ontology_agreement
hsa-mir-671,0.005355529745773648,0.004098915989159892,4,4,42,42,0.047619047619047616,0.04878048780487805,0.012782520860631126,0.01225224688992555,0.9987433862433862
hsa-mir-130a,0.03498840550053049,0.03677760983381251,4,4,133,107,0.3333333333333333,0.42857142857142855,0.07801031034087394,0.09805647199081206,0.998210795666718
hsa-mir-545,0.007516087516087516,0.006594982078853047,3,3,37,32,0.08571428571428572,0.06666666666666667,0.021954536952814643,0.017949225315623502,0.9990788945627656
hsa-mir-326,0.043915343915343914,0.0364681306347973,4,4,75,78,0.2857142857142857,0.3076923076923077,0.07992998251722705,0.07848332485956266,0.9925527867194534
hsa-mir-193a,0.028227372116106857,0.03499152358120617,4,4,117,96,0.15384615384615385,0.3,0.04644481232904268,0.07370019996066605,0.9932358485349007
hsa-mir-148a,0.045256368208064626,0.044951038576803104,4,4,141,127,0.20833333333333334,0.2777777777777778,0.07199639062762833,0.08023851068381896,0.9996946703687385
hsa-mir-3074,0.0,0.0,2,2,12,13,0.0,0.0,0.0,0.0,1.0
hsa-mir-224,0.035977499866388755,0.029812367656674624,4,4,81,79,0.2962962962962963,0.2857142857142857,0.07665146106933814,0.0687671768759806,0.9938348677902858
hsa-mir-146b,0.015425582986899212,0.016289266289266288,4,4,142,132,0.13636363636363635,0.13636363636363635,0.03705268524425765,0.03671210276759057,0.9991363166976329
hsa-mir-216a,0.02433751985990792,0.015950974535961594,3,3,67,62,0.15384615384615385,0.15384615384615385,0.05247540713459685,0.03974686416995435,0.9916134546760537
hsa-mir-32,0.022504110856118326,0.019043175314171955,4,4,61,50,0.17647058823529413,0.2,0.05168933526913655,0.049317206401304346,0.9965390644580536
hsa-mir-503,0.03240619238782129,0.02570703762525884,4,4,74,71,0.23809523809523808,0.23809523809523808,0.06866884601121588,0.05988822807157268,0.9933008452374376
hsa-mir-197,0.02042457142978364,0.018083086504139135,4,3,82,81,0.17647058823529413,0.16666666666666666,0.04830667851327733,0.04346760534676038,0.9976585150743555
hsa-let-7g,0.023951612903225807,0.019708994708994707,3,3,69,60,0.2,0.2222222222222222,0.05456879335722393,0.05595316271484083,0.9957573818057689
hsa-mir-424,0.025815072322962446,0.03860867446393762,4,4,126,103,0.15,0.2222222222222222,0.04363960178704196,0.06770448670850504,0.9872063978590249
hsa-mir-106a,0.03625708866832905,0.04029073140796385,4,4,100,85,0.23809523809523808,0.3157894736842105,0.06736881230963666,0.08378738423437417,0.9959663572603652
hsa-mir-431,0.017006802721088433,0.00952842377260982,4,4,51,47,0.14285714285714285,0.125,0.039226403383234,0.029957466197862385,0.9925216210515214
hsa-mir-151a,0.0027210884353741495,0.0,3,3,52,48,0.04081632653061224,0.0,0.010181380644282832,0.0,0.9972789115646259
hsa-mir-186,0.017680311890838206,0.010971479500891265,3,3,96,88,0.12631578947368421,0.09411764705882353,0.03768080098187161,0.025486789720417194,0.9932911676100531
hsa-mir-138-2,0.0,0.0,1,1,6,8,0.0,0.0,0.0,0.0,1.0
hsa-mir-363,0.035835177282545705,0.0307653170216256,4,4,77,78,0.3333333333333333,0.3333333333333333,0.08076043043530627,0.07917074869877946,0.9949301397390798
hsa-mir-183,0.019029953912123875,0.02042644048458002,4,4,120,102,0.17857142857142858,0.125,0.04314599925256502,0.037091615433949454,0.9986035134275438
hsa-mir-455,0.02285939892658013,0.02394901837741158,4,4,87,85,0.14285714285714285,0.2222222222222222,0.04439288482422189,0.05565215803093554,0.9989103805491686
hsa-mir-495,0.02353904201672178,0.03949409469316983,4,4,94,76,0.13793103448275862,0.25,0.04199555849401648,0.07071741703783194,0.984044947323552
hsa-mir-381,0.007423101067168864,0.006358488814629165,4,4,64,65,0.11666666666666667,0.07936507936507936,0.02677741705332071,0.019439674534418392,0.9989353877474603
hsa-mir-766,0.02277777777777778,0.012777777777777777,3,3,40,42,0.16666666666666666,0.16666666666666666,0.04873080502130753,0.0415962367718553,0.99
